Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,1.0,0.0,5.0,3.0,3.0,3.0,7.0,12.0,16.0,18.0,36.0,30.0,36.0,52.0,84.0,87.0,87.0,66.0,95.0,76.0,140.0,177.0,222.0,325.0,330.0,464.0,610.0,566.0,724.0
Albania,68.0,52.0,50.0,44.0,41.0,37.0,50.0,51.0,53.0,55.0,66.0,80.0,104.0,137.0,224.0,276.0,337.0,502.0,521.0,474.0,404.0,385.0,482.0,559.0,677.0,917.0,997.0,1083.0,1257.0
Algeria,373.0,404.0,460.0,497.0,547.0,644.0,689.0,905.0,1194.0,1310.0,1845.0,2045.0,2502.0,3138.0,3160.0,3595.0,4273.0,4885.0,5233.0,5892.0,6626.0,7315.0,7959.0,8062.0,8270.0,9683.0,10699.0,10741.0,12735.0
American Samoa,4.0,7.0,5.0,4.0,3.0,2.0,6.0,4.0,6.0,4.0,9.0,7.0,11.0,12.0,10.0,9.0,6.0,13.0,21.0,9.0,7.0,11.0,24.0,7.0,13.0,9.0,10.0,28.0,18.0
Andorra,2.0,2.0,4.0,1.0,1.0,4.0,1.0,9.0,4.0,10.0,11.0,15.0,4.0,7.0,8.0,6.0,12.0,18.0,20.0,22.0,24.0,14.0,18.0,29.0,33.0,36.0,43.0,46.0,49.0
Angola,7.0,13.0,10.0,14.0,16.0,17.0,25.0,15.0,22.0,33.0,33.0,34.0,33.0,38.0,43.0,51.0,68.0,68.0,98.0,97.0,108.0,149.0,108.0,135.0,160.0,164.0,217.0,217.0,270.0
Anguilla,,,,1.0,,,,,,,1.0,,,3.0,1.0,2.0,4.0,8.0,7.0,12.0,13.0,8.0,9.0,9.0,16.0,10.0,16.0,15.0,14.0
Antigua and Barbuda,1.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,2.0,6.0,6.0,10.0,10.0,8.0,4.0,4.0,9.0,11.0,9.0,12.0,19.0,17.0,24.0,16.0,19.0,29.0,38.0,59.0,68.0
Argentina,4203.0,4817.0,4850.0,5149.0,5468.0,5681.0,6070.0,6125.0,6432.0,6787.0,7608.0,7838.0,8618.0,9622.0,10117.0,10898.0,11303.0,11457.0,12240.0,12453.0,12891.0,13373.0,14209.0,14614.0,16499.0,16585.0,15635.0,15230.0,15906.0
Armenia,402.0,343.0,364.0,381.0,477.0,468.0,489.0,525.0,544.0,619.0,587.0,645.0,618.0,694.0,793.0,993.0,1110.0,1027.0,1059.0,1050.0,1110.0,1118.0,1193.0,1345.0,1234.0,1244.0,1422.0,1611.0,1940.0
Aruba,,3.0,,,4.0,2.0,2.0,1.0,2.0,4.0,,1.0,0.0,3.0,6.0,9.0,7.0,8.0,20.0,8.0,13.0,13.0,6.0,14.0,20.0,26.0,31.0,39.0,35.0
Australia,24898.0,25914.0,27055.0,27713.0,29305.0,30029.0,31489.0,34206.0,37564.0,42778.0,46203.0,48896.0,51785.0,56785.0,61477.0,66289.0,70234.0,77053.0,81226.0,84714.0,87558.0,90495.0,94849.0,99847.0,104475.0,110978.0,108702.0,103239.0,109796.0
Austria,7653.0,8301.0,8263.0,8667.0,9051.0,9645.0,10421.0,11527.0,12165.0,13612.0,14006.0,15155.0,16088.0,17252.0,17991.0,19374.0,20495.0,21369.0,21984.0,23261.0,23785.0,24270.0,24928.0,26274.0,27797.0,30422.0,29701.0,29659.0,30882.0
Azerbaijan,252.0,248.0,210.0,201.0,197.0,196.0,301.0,362.0,440.0,435.0,382.0,502.0,600.0,779.0,802.0,889.0,1002.0,756.0,674.0,804.0,1025.0,1139.0,1350.0,1759.0,1995.0,1959.0,2037.0,2712.0,4390.0
Bahamas,5.0,6.0,10.0,6.0,5.0,11.0,10.0,10.0,7.0,16.0,12.0,25.0,16.0,29.0,22.0,31.0,30.0,45.0,45.0,44.0,40.0,68.0,72.0,90.0,86.0,109.0,90.0,73.0,80.0
Bahrain,124.0,87.0,113.0,115.0,101.0,102.0,88.0,168.0,189.0,221.0,259.0,255.0,259.0,294.0,324.0,330.0,308.0,423.0,403.0,364.0,466.0,544.0,676.0,986.0,1193.0,1433.0,1642.0,1911.0,2006.0
Bangladesh,526.0,541.0,554.0,581.0,617.0,615.0,641.0,765.0,860.0,991.0,1213.0,1419.0,1665.0,1915.0,2365.0,2492.0,3249.0,3223.0,3946.0,3677.0,4251.0,5507.0,5515.0,7507.0,8776.0,12505.0,12963.0,13672.0,14966.0
Barbados,41.0,44.0,46.0,42.0,45.0,64.0,63.0,77.0,94.0,72.0,87.0,80.0,86.0,84.0,74.0,91.0,111.0,110.0,113.0,107.0,120.0,114.0,120.0,132.0,146.0,169.0,205.0,169.0,183.0
Belarus,1361.0,1475.0,1485.0,1378.0,1409.0,1580.0,1668.0,1684.0,1664.0,1771.0,1629.0,1737.0,1460.0,1656.0,1514.0,1688.0,1731.0,1747.0,1755.0,1742.0,1889.0,2084.0,2356.0,2947.0,2929.0,2981.0,2858.0,2494.0,2460.0
Belgium,11451.0,12116.0,12870.0,12834.0,13104.0,13503.0,14360.0,16060.0,17103.0,19211.0,19717.0,20739.0,22072.0,23738.0,24677.0,26226.0,27742.0,28789.0,29831.0,30708.0,31161.0,31496.0,32520.0,32632.0,34757.0,37850.0,36870.0,36167.0,38168.0
Belize,9.0,10.0,8.0,6.0,3.0,2.0,9.0,13.0,13.0,19.0,20.0,9.0,9.0,25.0,25.0,19.0,24.0,29.0,23.0,31.0,27.0,38.0,32.0,40.0,54.0,64.0,61.0,70.0,58.0
Benin,59.0,80.0,78.0,79.0,80.0,79.0,87.0,95.0,125.0,127.0,175.0,201.0,212.0,253.0,246.0,299.0,344.0,403.0,401.0,426.0,400.0,508.0,524.0,658.0,714.0,920.0,909.0,887.0,1002.0
Bermuda,22.0,12.0,29.0,13.0,26.0,35.0,27.0,17.0,29.0,32.0,36.0,31.0,33.0,35.0,33.0,40.0,45.0,56.0,30.0,43.0,43.0,51.0,45.0,49.0,56.0,46.0,44.0,51.0,54.0
Bhutan,4.0,6.0,5.0,2.0,3.0,2.0,10.0,5.0,17.0,15.0,37.0,18.0,17.0,25.0,48.0,49.0,42.0,68.0,74.0,82.0,98.0,105.0,109.0,138.0,205.0,251.0,260.0,236.0,243.0
Bolivia,67.0,93.0,99.0,127.0,80.0,92.0,110.0,124.0,133.0,157.0,176.0,222.0,238.0,237.0,236.0,245.0,227.0,272.0,284.0,309.0,314.0,288.0,358.0,401.0,492.0,543.0,564.0,563.0,655.0
